,lambda=0,lambda=0.01,lambda=0.02,lambda=0.03,lambda=0.04,lambda=0.05,lambda=0.075,lambda=0.1,lambda=0.15,lambda=0.2,lambda=0.25,lambda=0.3
alpha=0.0,10.919685136112394,10.96937856357203,11.006903814368648,10.922985135034098,11.01404716329142,10.997374981873003,10.970061521463652,10.907734776530633,10.946185653693385,10.918960691078922,10.977864056380847,10.96550816231864
alpha=0.1,10.879950715336452,10.999652637139857,10.986840327937442,10.959381782376798,11.09167288449866,10.958153229412181,11.054382285060695,11.155265157014316,11.012612557357738,11.018579638495353,10.946331773697544,10.970021039890288
alpha=0.2,11.003170940222807,10.975807019070626,10.892904344430686,10.945254661133166,10.985037460371595,11.000272368765302,11.123367351984411,11.045825510516286,11.031602208346989,10.955850940499737,10.972559486299573,11.015535969585093
alpha=0.30000000000000004,10.934742673782917,11.132780137058997,10.987064516377279,11.041151835154512,10.950842498403315,11.008837001962206,11.037802188441386,11.05166290410239,10.939203263563334,11.023502747113689,10.938411131713186,10.924443096365238
alpha=0.4,10.93384189807992,10.977873099699849,10.953190524324507,10.97107021811641,11.073989935295224,11.013591972079855,10.844573213266727,11.064216923651287,10.956628319520272,10.98673216249153,10.941568957239047,11.06446966955052
alpha=0.5,11.02889864288508,11.017001989393702,10.980737139781636,10.946775342135885,10.97514550613067,11.038057063105693,10.992362095327731,10.99200218868164,10.886478293036209,10.971588121989095,10.98673199589334,10.908931218248533
alpha=0.6000000000000001,11.159231792268123,10.982105416287197,10.993081467344886,11.060125522985887,10.978435050558655,11.059588785227618,11.001582542109833,11.035774202605976,10.983073391574193,11.07022747052735,11.075950669836615,10.972990368814873
alpha=0.7000000000000001,11.122891705622273,11.105325234312344,11.092352630379832,11.01641941361219,11.043220421545389,11.129238535465019,11.024081193848476,10.901472631892144,11.031081524279664,10.974509644610379,10.946849350363884,11.025175418195479
alpha=0.8,11.169307184447057,11.133968685155683,11.103295551483711,10.95475510645015,11.35838657348718,10.998683269080217,11.12566764563131,11.195727515904641,11.010563383965636,11.057403764745807,10.999221239953405,10.975202856250176
alpha=0.9,11.216339053369065,11.272656801033325,11.217907371850153,11.177235314525472,11.195349328646442,11.14507247001735,11.111920670418424,11.224525830964271,11.052589202956085,11.147634526679981,10.994851155421113,11.000127391751196
alpha=1.0,12.535435993266436,12.481876731961151,12.494278385073581,12.476207611495708,12.464199234446218,12.519199975196512,12.466772305048996,12.62840059931231,12.392720462471928,12.50238411904194,12.458622211347219,12.392938761364732
